Time,Channel A,Channel B,Channel C
(s),(V),(V),(V)

-1.95720002,0.13443400,0.11047700,0.09308145
-1.95715002,0.13443400,0.09567553,0.08636738
-1.95710002,0.13443400,0.08896145,0.07339702
-1.95705002,0.13443400,0.10742520,0.11291850
-1.95700002,0.13443400,0.07904294,0.07827998
-1.95695002,0.13422040,0.06927702,0.09750663
-1.95690002,0.13422040,0.11719110,0.09247109
-1.95685002,0.13458660,0.09689627,0.07950072
-1.95680002,0.13467820,0.09811701,0.08514664
-1.95675002,0.13449510,0.11230810,0.09247109
-1.95670002,0.13449510,0.08713035,0.07889035
-1.95665002,0.13464770,0.09872738,0.08819849
-1.95660002,0.13464770,0.07538072,0.07461776
-1.95655002,0.13458660,0.09628589,0.09689627
-1.95650002,0.13455610,0.10116890,0.07644887
-1.95645002,0.13458660,0.08102664,0.07522812
-1.95640002,0.13464770,0.11108740,0.10925630
-1.95635002,0.13476970,0.08835109,0.07644887
-1.95630002,0.13470870,0.10300000,0.06286813
-1.95625002,0.13458660,0.10605180,0.09002960
-1.95620002,0.13476970,0.09689627,0.07278664
-1.95615002,0.13486130,0.10055850,0.09689627
-1.95610002,0.13486130,0.09628589,0.08575701
-1.95605002,0.13483080,0.10925630,0.08148442
-1.95600002,0.13495280,0.08285775,0.06729332
-1.95595002,0.13498340,0.07660146,0.06729332
-1.95590002,0.13492230,0.08407849,0.11597030
-1.95585002,0.13504440,0.10666220,0.05432295
-1.95580002,0.13495280,0.11536000,0.09750663
-1.95575002,0.13501390,0.10803550,0.06408887
-1.95570002,0.13507490,0.08835109,0.07278664
-1.95565002,0.13510540,0.11108740,0.07461776
-1.95560002,0.13498340,0.09567553,0.07522812
-1.95555002,0.13492230,0.08957183,0.09750663
-1.95550002,0.13507490,0.07660146,0.04623554
-1.95545002,0.13495280,0.08896145,0.06591998
-1.95540002,0.13495280,0.09811701,0.09750663
-1.95535002,0.13504440,0.07843257,0.06286813
-1.95530002,0.13495280,0.11536000,0.09002960
-1.95525002,0.13498340,0.10300000,0.10483110
-1.95520002,0.13498340,0.10361030,0.08331553
-1.95515002,0.13507490,0.09872738,0.05798517
-1.95510002,0.13492230,0.09018219,0.08758812
-1.95505002,0.13501390,0.09384441,0.06591998
-1.95500002,0.13498340,0.09811701,0.06851406
-1.95495002,0.13492230,0.09140293,0.09506515
-1.95490002,0.13492230,0.06866664,0.08087405
-1.95485002,0.13501390,0.09811701,0.09567553
-1.95480002,0.13501390,0.09262367,0.08758812
-1.95475002,0.13495280,0.12512590,0.08941923
-1.95470002,0.13516650,0.09811701,0.06729332
-1.95465002,0.13504440,0.09445479,0.07827998
-1.95460002,0.13504440,0.10666220,0.06790368
-1.95455002,0.13507490,0.11291850,0.11719110
-1.95450002,0.13519700,0.07782220,0.06912442
-1.95445002,0.13510540,0.09567553,0.07705924
-1.95440002,0.13510540,0.09567553,0.08392590
-1.95435002,0.13516650,0.06683554,0.06164739
-1.95430002,0.13513600,0.11658070,0.08011109
-1.95425002,0.13504440,0.12390520,0.10055850
-1.95420002,0.13516650,0.10422070,0.07766961
-1.95415002,0.13513600,0.11841180,0.07766961
-1.95410002,0.13522750,3.25281500,0.12588890
-1.95405002,0.13522750,3.20673200,0.07278664
-1.95400002,0.13519700,3.23496200,0.07400738
-1.95395002,0.13519700,3.21543000,0.09002960
-1.95390002,0.13534960,3.24976300,0.07400738
-1.95385002,0.13547170,3.21482000,0.06851406
-1.95380002,0.13522750,3.22519600,0.08209479
-1.95375002,0.13522750,3.23755600,0.09247109
-1.95370002,0.13541060,3.23007900,0.08331553
-1.95365002,0.13550220,3.23191000,0.07583850
-1.95360002,0.13531910,3.23313100,0.09872738
-1.95355002,0.13534960,3.23938700,0.05737480
-1.95350002,0.13541060,3.22092300,0.07095554
-1.95345002,0.13541060,3.23496200,0.07827998
-1.95340002,0.13541060,3.24427000,0.07644887
-1.95335002,0.13534960,3.20490100,0.07583850
-1.95330002,0.13528860,3.22580600,0.08514664
-1.95325002,0.13538010,3.21359900,0.08575701
-1.95320002,0.13547170,3.21420900,0.06469924
-1.95315002,0.13538010,3.22885800,0.06347850
-1.95310002,0.13525800,3.23007900,0.09308145
-1.95305002,0.13541060,3.23618300,0.06103702
-1.95300002,0.13553270,3.25220500,0.08514664
-1.95295002,0.13538010,3.22641700,0.07278664
-1.95290002,0.13544110,3.21237800,0.08087405
-1.95285002,0.13534960,3.23252100,0.05615406
-1.95280002,0.13534960,3.22336500,0.07950072
-1.95275002,0.13534960,3.23816600,0.10986660
-1.95270002,0.13541060,3.24121800,0.06729332
-1.95265002,0.13525800,3.20490100,0.08636738
-1.95260002,0.13522750,3.25220500,0.09628589
-1.95255002,0.13528860,3.20368100,0.06729332
-1.95250002,0.13525800,3.21543000,0.06469924
-1.95245002,0.13513600,3.26639600,0.08697775
-1.95240002,0.13516650,3.25952900,0.09811701
-1.95235002,0.13525800,3.25708800,0.06653035
-1.95230002,0.13513600,3.20490100,0.08209479
-1.95225002,0.13513600,3.22641700,0.08514664
-1.95220002,0.13513600,3.21909200,0.06042665
-1.95215002,0.13510540,3.23191000,0.08575701
-1.95210002,0.13510540,3.25037400,0.10177920
-1.95205002,0.13519700,3.22214400,0.04928739
-1.95200002,0.13516650,3.22580600,0.06790368
-1.95195002,0.13507490,3.22519600,0.10300000
-1.95190002,0.13510540,3.21115800,0.08392590
